,Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working%3F,Husbands_occupation,Standard-of-living_index,Media_exposure,Contraceptive_method_used
0,24.0,b'2',b'3',3.0,b'1',b'1',b'2',b'3',b'0',b'1'
1,45.0,b'1',b'3',10.0,b'1',b'1',b'3',b'4',b'0',b'1'
2,43.0,b'2',b'3',7.0,b'1',b'1',b'3',b'4',b'0',b'1'
3,42.0,b'3',b'2',9.0,b'1',b'1',b'3',b'3',b'0',b'1'
4,36.0,b'3',b'3',8.0,b'1',b'1',b'3',b'2',b'0',b'1'
5,19.0,b'4',b'4',0.0,b'1',b'1',b'3',b'3',b'0',b'1'
6,38.0,b'2',b'3',6.0,b'1',b'1',b'3',b'2',b'0',b'1'
7,21.0,b'3',b'3',1.0,b'1',b'0',b'3',b'2',b'0',b'1'
8,27.0,b'2',b'3',3.0,b'1',b'1',b'3',b'4',b'0',b'1'
9,45.0,b'1',b'1',8.0,b'1',b'1',b'2',b'2',b'1',b'1'
10,38.0,b'1',b'3',2.0,b'1',b'0',b'3',b'3',b'1',b'1'
11,42.0,b'1',b'4',4.0,b'1',b'1',b'1',b'3',b'0',b'1'
12,44.0,b'4',b'4',1.0,b'1',b'0',b'1',b'4',b'0',b'1'
13,42.0,b'2',b'4',1.0,b'1',b'0',b'3',b'3',b'0',b'1'
14,38.0,b'3',b'4',2.0,b'1',b'1',b'2',b'3',b'0',b'1'
15,26.0,b'2',b'4',0.0,b'1',b'1',b'4',b'1',b'0',b'1'
16,48.0,b'1',b'1',7.0,b'1',b'1',b'2',b'4',b'0',b'1'
17,39.0,b'2',b'2',6.0,b'1',b'1',b'2',b'4',b'0',b'1'
18,37.0,b'2',b'2',8.0,b'1',b'1',b'2',b'3',b'0',b'1'
19,39.0,b'2',b'1',5.0,b'1',b'1',b'2',b'1',b'1',b'1'
20,26.0,b'3',b'4',1.0,b'1',b'0',b'4',b'1',b'0',b'1'
21,24.0,b'3',b'4',0.0,b'1',b'0',b'3',b'1',b'0',b'1'
22,46.0,b'4',b'4',1.0,b'0',b'1',b'1',b'4',b'0',b'1'
23,39.0,b'4',b'4',1.0,b'1',b'1',b'1',b'4',b'0',b'1'
24,48.0,b'4',b'4',5.0,b'1',b'1',b'1',b'4',b'0',b'1'
25,40.0,b'2',b'4',8.0,b'1',b'1',b'3',b'3',b'0',b'1'
26,38.0,b'4',b'4',1.0,b'1',b'0',b'1',b'4',b'0',b'1'
27,29.0,b'4',b'4',0.0,b'1',b'0',b'1',b'4',b'0',b'1'
28,24.0,b'4',b'4',0.0,b'1',b'0',b'2',b'2',b'0',b'1'
29,43.0,b'1',b'2',8.0,b'1',b'1',b'2',b'4',b'0',b'1'
30,31.0,b'3',b'4',2.0,b'1',b'1',b'1',b'4',b'0',b'1'
31,31.0,b'4',b'4',2.0,b'1',b'1',b'3',b'2',b'0',b'1'
32,26.0,b'2',b'4',0.0,b'1',b'0',b'1',b'2',b'0',b'1'
33,33.0,b'2',b'2',2.0,b'1',b'1',b'3',b'1',b'0',b'1'
34,24.0,b'2',b'3',1.0,b'1',b'1',b'3',b'3',b'0',b'1'
35,42.0,b'1',b'3',9.0,b'1',b'1',b'3',b'2',b'1',b'1'
36,43.0,b'1',b'2',8.0,b'1',b'0',b'3',b'1',b'0',b'1'
37,25.0,b'3',b'3',4.0,b'1',b'1',b'3',b'2',b'0',b'1'
38,42.0,b'2',b'2',3.0,b'1',b'1',b'3',b'4',b'0',b'1'
39,28.0,b'2',b'2',1.0,b'1',b'1',b'2',b'4',b'0',b'1'
40,28.0,b'1',b'1',3.0,b'1',b'1',b'3',b'1',b'0',b'1'
41,47.0,b'2',b'3',0.0,b'1',b'0',b'1',b'3',b'0',b'1'
42,48.0,b'2',b'4',2.0,b'1',b'1',b'1',b'3',b'0',b'1'
43,40.0,b'4',b'4',2.0,b'0',b'1',b'1',b'4',b'0',b'1'
44,28.0,b'2',b'2',1.0,b'1',b'1',b'3',b'2',b'0',b'1'
45,25.0,b'1',b'4',1.0,b'1',b'1',b'2',b'1',b'0',b'1'
46,32.0,b'4',b'4',2.0,b'1',b'1',b'2',b'3',b'0',b'1'
47,45.0,b'4',b'4',0.0,b'1',b'1',b'2',b'4',b'0',b'1'
48,26.0,b'4',b'4',1.0,b'1',b'1',b'1',b'4',b'0',b'1'
49,26.0,b'4',b'4',0.0,b'1',b'0',b'1',b'4',b'0',b'1'
50,31.0,b'4',b'4',0.0,b'1',b'0',b'1',b'4',b'0',b'1'
51,49.0,b'4',b'4',7.0,b'0',b'1',b'2',b'4',b'0',b'1'
52,40.0,b'3',b'4',8.0,b'1',b'1',b'3',b'3',b'0',b'1'
53,34.0,b'4',b'4',1.0,b'0',b'0',b'2',b'3',b'0',b'1'
54,36.0,b'2',b'4',5.0,b'1',b'1',b'2',b'3',b'0',b'1'
55,20.0,b'2',b'2',2.0,b'1',b'1',b'2',b'2',b'1',b'1'
56,43.0,b'4',b'4',5.0,b'1',b'0',b'1',b'4',b'0',b'1'
57,37.0,b'3',b'4',7.0,b'1',b'1',b'2',b'1',b'0',b'1'
58,21.0,b'2',b'3',0.0,b'1',b'1',b'3',b'4',b'0',b'1'
59,49.0,b'4',b'4',6.0,b'1',b'1',b'1',b'2',b'0',b'1'
60,42.0,b'3',b'3',10.0,b'1',b'1',b'3',b'3',b'0',b'1'
61,20.0,b'2',b'3',1.0,b'1',b'1',b'2',b'3',b'0',b'1'
